rule_number,rule_binary,num_nodes,num_edges,density,is_strongly_connected,max_in_degree,max_out_degree,avg_in_degree,avg_out_degree
0,00000000,2,8,4.0,False,8,4,4.0,4.0
1,00000001,2,8,4.0,True,7,4,4.0,4.0
2,00000010,2,8,4.0,True,7,4,4.0,4.0
3,00000011,2,8,4.0,True,6,4,4.0,4.0
4,00000100,2,8,4.0,False,7,4,4.0,4.0
5,00000101,2,8,4.0,True,6,4,4.0,4.0
6,00000110,2,8,4.0,True,6,4,4.0,4.0
7,00000111,2,8,4.0,True,5,4,4.0,4.0
8,00001000,2,8,4.0,False,7,4,4.0,4.0
9,00001001,2,8,4.0,True,6,4,4.0,4.0
10,00001010,2,8,4.0,True,6,4,4.0,4.0
11,00001011,2,8,4.0,True,5,4,4.0,4.0
12,00001100,2,8,4.0,False,6,4,4.0,4.0
13,00001101,2,8,4.0,True,5,4,4.0,4.0
14,00001110,2,8,4.0,True,5,4,4.0,4.0
15,00001111,2,8,4.0,True,4,4,4.0,4.0
16,00010000,2,8,4.0,True,7,4,4.0,4.0
17,00010001,2,8,4.0,True,6,4,4.0,4.0
18,00010010,2,8,4.0,True,6,4,4.0,4.0
19,00010011,2,8,4.0,True,5,4,4.0,4.0
20,00010100,2,8,4.0,True,6,4,4.0,4.0
21,00010101,2,8,4.0,True,5,4,4.0,4.0
22,00010110,2,8,4.0,True,5,4,4.0,4.0
23,00010111,2,8,4.0,True,4,4,4.0,4.0
24,00011000,2,8,4.0,True,6,4,4.0,4.0
25,00011001,2,8,4.0,True,5,4,4.0,4.0
26,00011010,2,8,4.0,True,5,4,4.0,4.0
27,00011011,2,8,4.0,True,4,4,4.0,4.0
28,00011100,2,8,4.0,True,5,4,4.0,4.0
29,00011101,2,8,4.0,True,4,4,4.0,4.0
30,00011110,2,8,4.0,True,4,4,4.0,4.0
31,00011111,2,8,4.0,True,5,4,4.0,4.0
32,00100000,2,8,4.0,True,7,4,4.0,4.0
33,00100001,2,8,4.0,True,6,4,4.0,4.0
34,00100010,2,8,4.0,True,6,4,4.0,4.0
35,00100011,2,8,4.0,True,5,4,4.0,4.0
36,00100100,2,8,4.0,True,6,4,4.0,4.0
37,00100101,2,8,4.0,True,5,4,4.0,4.0
38,00100110,2,8,4.0,True,5,4,4.0,4.0
39,00100111,2,8,4.0,True,4,4,4.0,4.0
40,00101000,2,8,4.0,True,6,4,4.0,4.0
41,00101001,2,8,4.0,True,5,4,4.0,4.0
42,00101010,2,8,4.0,True,5,4,4.0,4.0
43,00101011,2,8,4.0,True,4,4,4.0,4.0
44,00101100,2,8,4.0,True,5,4,4.0,4.0
45,00101101,2,8,4.0,True,4,4,4.0,4.0
46,00101110,2,8,4.0,True,4,4,4.0,4.0
47,00101111,2,8,4.0,True,5,4,4.0,4.0
48,00110000,2,8,4.0,True,6,4,4.0,4.0
49,00110001,2,8,4.0,True,5,4,4.0,4.0
50,00110010,2,8,4.0,True,5,4,4.0,4.0
51,00110011,2,8,4.0,True,4,4,4.0,4.0
52,00110100,2,8,4.0,True,5,4,4.0,4.0
53,00110101,2,8,4.0,True,4,4,4.0,4.0
54,00110110,2,8,4.0,True,4,4,4.0,4.0
55,00110111,2,8,4.0,True,5,4,4.0,4.0
56,00111000,2,8,4.0,True,5,4,4.0,4.0
57,00111001,2,8,4.0,True,4,4,4.0,4.0
58,00111010,2,8,4.0,True,4,4,4.0,4.0
59,00111011,2,8,4.0,True,5,4,4.0,4.0
60,00111100,2,8,4.0,True,4,4,4.0,4.0
61,00111101,2,8,4.0,True,5,4,4.0,4.0
62,00111110,2,8,4.0,True,5,4,4.0,4.0
63,00111111,2,8,4.0,True,6,4,4.0,4.0
64,01000000,2,8,4.0,False,7,4,4.0,4.0
