Class_ID,Class_Size,Rules_In_Class
1,2,0; 255
2,2,1; 127
3,4,2; 16; 191; 247
4,4,3; 17; 63; 119
5,2,4; 223
6,2,5; 95
7,4,6; 20; 159; 215
8,4,7; 21; 31; 87
9,4,8; 64; 239; 253
10,4,9; 65; 111; 125
11,4,10; 80; 175; 245
12,4,11; 47; 81; 117
13,4,12; 68; 207; 221
14,4,13; 69; 79; 93
15,4,14; 84; 143; 213
16,2,15; 85
17,2,18; 183
18,2,19; 55
19,2,22; 151
20,1,23
21,4,24; 66; 189; 231
22,4,25; 61; 67; 103
23,4,26; 82; 167; 181
24,4,27; 39; 53; 83
25,4,28; 70; 157; 199
26,2,29; 71
27,4,30; 86; 135; 149
28,2,32; 251
29,2,33; 123
30,4,34; 48; 187; 243
31,4,35; 49; 59; 115
32,2,36; 219
33,2,37; 91
34,4,38; 52; 155; 211
35,4,40; 96; 235; 249
36,4,41; 97; 107; 121
37,4,42; 112; 171; 241
38,2,43; 113
39,4,44; 100; 203; 217
40,4,45; 75; 89; 101
41,4,46; 116; 139; 209
42,2,50; 179
43,1,51
44,2,54; 147
45,4,56; 98; 185; 227
46,2,57; 99
47,4,58; 114; 163; 177
48,4,60; 102; 153; 195
49,4,62; 118; 131; 145
50,2,72; 237
51,2,73; 109
52,4,74; 88; 173; 229
53,2,76; 205
54,1,77
55,4,78; 92; 141; 197
56,2,90; 165
57,2,94; 133
58,2,104; 233
59,1,105
60,4,106; 120; 169; 225
61,2,108; 201
62,4,110; 124; 137; 193
63,2,122; 161
64,2,126; 129
65,2,128; 254
66,4,130; 144; 190; 246
67,2,132; 222
68,4,134; 148; 158; 214
69,4,136; 192; 238; 252
70,4,138; 174; 208; 244
71,4,140; 196; 206; 220
72,2,142; 212
73,2,146; 182
74,1,150
75,4,152; 188; 194; 230
76,4,154; 166; 180; 210
77,2,156; 198
78,2,160; 250
79,4,162; 176; 186; 242
80,2,164; 218
81,4,168; 224; 234; 248
82,2,170; 240
83,4,172; 202; 216; 228
84,1,178
85,2,184; 226
86,2,200; 236
87,1,204
88,1,232
